"country_std","frequency","rank"
"Aruba",0,1
"Afghanistan",0,2
"Angola",0,3
"Anguilla",0,4
"United Arab Emirates",0,5
"Antigua And Barb.",0,6
"Burundi",0,7
"Benin",0,8
"Burkina Faso",0,9
"Bangladesh",0,10
"Bahamas",0,11
"St-Barthélemy",0,12
"Belize",0,13
"Bolivia",0,14
"Barbados",0,15
"Brunei",0,16
"Bhutan",0,17
"Botswana",0,18
"Central African Rep.",0,19
"Chile",0,20
"Côte D'ivoire",0,21
"Cameroon",0,22
"Dem. Rep. Congo",0,23
"Congo",0,24
"Colombia",0,25
"Comoros",0,26
"Cabo Verde",0,27
"Costa Rica",0,28
"Cuba",0,29
"Curaçao",0,30
"Cayman Is.",0,31
"Djibouti",0,32
"Dominica",0,33
"Dominican Rep.",0,34
"Algeria",0,35
"Ecuador",0,36
"Egypt",0,37
"Eritrea",0,38
"Ethiopia",0,39
"Fiji",0,40
"Falkland Is.",0,41
"Gabon",0,42
"Ghana",0,43
"Guinea",0,44
"Gambia",0,45
"Guinea-Bissau",0,46
"Eq. Guinea",0,47
"Grenada",0,48
"Guatemala",0,49
"Guyana",0,50
"Honduras",0,51
"Haiti",0,52
"Indonesia",0,53
"Iran",0,54
"Jamaica",0,55
"Siachen Glacier",0,56
"Kenya",0,57
"Cambodia",0,58
"St. Kitts And Nevis",0,59
"Lao Pdr",0,60
"Liberia",0,61
"Libya",0,62
"Saint Lucia",0,63
"Sri Lanka",0,64
"Lesotho",0,65
"St-Martin",0,66
"Morocco",0,67
"Madagascar",0,68
"Maldives",0,69
"Mexico",0,70
"Mali",0,71
"Myanmar",0,72
"Mozambique",0,73
"Mauritania",0,74
"Montserrat",0,75
"Mauritius",0,76
"Malawi",0,77
"Malaysia",0,78
"Namibia",0,79
"New Caledonia",0,80
"Niger",0,81
"Nigeria",0,82
"Nicaragua",0,83
"Nepal",0,84
"Oman",0,85
"Pakistan",0,86
"Panama",0,87
"Peru",0,88
"Philippines",0,89
"Papua New Guinea",0,90
"Puerto Rico",0,91
"Paraguay",0,92
"Rwanda",0,93
"W. Sahara",0,94
"Saudi Arabia",0,95
"Sudan",0,96
"S. Sudan",0,97
"Senegal",0,98
"Singapore",0,99
"Saint Helena",0,100
"Solomon Is.",0,101
"Sierra Leone",0,102
"El Salvador",0,103
"Somaliland",0,104
"Somalia",0,105
"São Tomé And Principe",0,106
"Suriname",0,107
"Swaziland",0,108
"Sint Maarten",0,109
"Seychelles",0,110
"Turks And Caicos Is.",0,111
"Chad",0,112
"Togo",0,113
"Timor-Leste",0,114
"Trinidad And Tobago",0,115
"Tunisia",0,116
"Taiwan",0,117
"Tanzania",0,118
"Uganda",0,119
"Uruguay",0,120
"St. Vin. And Gren.",0,121
"Venezuela",0,122
"British Virgin Is.",0,123
"U.s. Virgin Is.",0,124
"Vietnam",0,125
"Vanuatu",0,126
"South Africa",0,127
"Zambia",0,128
"Zimbabwe",0,129
